Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure
M,302.2,311.2,1627,33.2,74,0
M,301.5,311.1,1402,40,94,0
M,300.7,312.4,1371,61.7,102,0
L,304,313.3,1519,36.7,117,0
L,299.6,309.2,1425,45.9,133,0
L,301,311.6,1470,43.4,133,0
M,300.3,309.2,1490,47.9,163,0
L,302.2,310.8,1350,56.6,76,0
L,303.9,313.1,1310,62.9,130,0
L,296.8,307.9,1489,33.4,123,0
L,298.8,310,1423,42.1,154,0
L,301.4,311.1,1462,37.1,41,0
M,298.8,308.5,1577,33.2,0,0
L,300.3,311.8,1488,38.4,51,0
L,299.4,308.8,1627,32.6,124,0
L,302.7,312.2,1376,52.8,164,0
L,298.8,309.8,1437,42.8,23,0
M,297.3,308.4,1599,32.9,58,0
L,303.4,311.7,1476,42.3,180,0
L,298.9,308.9,1450,47.5,9,0
H,298.3,308,1637,30.8,2,0
L,298.4,309.6,1655,30.2,146,0
L,298,309.2,1527,32.4,99,0
L,297.3,308.3,1590,35.5,59,0
L,300.7,310.8,1925,22,74,0
M,301.4,310.5,1451,45.3,183,0
L,296.8,308,1497,41.7,231,0
M,300.6,310.6,1427,52.8,75,0
H,299.2,310.6,1704,30.6,160,0
H,298.4,308.3,1458,42.9,15,0
M,302.2,311.4,1626,31.6,62,0
M,300.5,310.2,1386,48.2,225,0
L,298.9,310,1719,27.3,58,0
L,301.5,310.8,1382,52.4,165,0
L,298.9,310.2,1409,54.8,140,0
L,298.4,309.1,1417,40.6,121,0
M,302.2,311.1,1516,33.7,158,0
L,298.6,309.4,1316,51.4,52,0
H,300.1,310.1,1426,42.7,64,0
L,301,310.4,1614,31.6,84,0
L,296.3,307.4,1465,47.1,215,0
L,300.9,310.9,1615,32,183,0
L,299.4,310.6,1418,53.1,10,0
L,302.9,312.4,1550,36.9,194,0
M,299.6,310.8,1603,35.4,202,0
M,299.5,309.2,1590,35.9,22,0
L,301.3,311.1,1413,42,221,0
L,301.3,310.5,1390,45.8,63,0
H,298.1,307.6,1496,44.1,104,0
L,302.9,312.5,1550,45.5,72,0
M,302.6,310.4,1532,36.1,77,0
M,297.9,307.7,1527,42.8,125,0
L,300.4,310.1,1544,41.9,184,0
L,300.7,309.6,1500,44.1,122,0
L,297.3,308.1,1568,34.4,194,0
L,299.8,310.2,1911,23.5,166,0
L,302.7,312.4,1453,47.3,62,0
L,298,308.2,1365,52.9,218,1
M,298.1,307.4,1335,56.2,190,0
L,298.9,310,1482,41.1,82,0
M,298.7,309.2,1423,48.9,187,0
L,298.1,307.9,1665,32,7,0
H,299.2,308.7,1448,51.4,173,0
L,302.4,310.2,1346,62.4,106,1
M,297,307.9,1882,24.2,97,0
L,304.2,313.5,1438,50.1,100,0
L,298,309.1,1820,23.6,120,0
L,297.3,308.4,1417,47.8,31,0
M,300.8,311,1580,36.6,109,0
L,298.8,308.4,1369,53,138,0
M,299.2,310.8,1502,39.8,177,0
L,297.1,308.4,1422,42.1,148,0
M,298.2,308.7,1599,36.2,28,0
L,298.5,308.6,1522,36.9,53,0
L,301.7,311.2,1521,36.7,130,0
L,300.7,310.6,1407,40.5,87,0
M,302.5,310.4,1509,37.6,45,0
M,303.8,312.7,1555,33.4,128,0
L,298,308,1524,37,49,0
L,302.3,311,1412,47,164,0
L,303.6,312.5,1286,62.4,101,0
L,302.1,310.9,1658,30.3,186,0
M,299.6,310.9,1630,29.8,206,0
H,298.5,308.9,1500,40.3,207,0
M,302.6,312.1,1445,42,181,0
M,303.7,312.7,1669,31.7,120,0
L,298,308.1,1819,23.4,78,0
M,300.1,311.4,1617,39.3,47,0
L,299.8,311.2,1664,28.3,173,0
L,301.6,310.7,1380,51.8,216,1
L,298.8,308.9,1461,47.9,206,0
L,299.9,309.6,1254,61.3,124,0
H,300,309.6,1629,32.3,89,0
L,300.5,311.6,1528,42.4,163,0
L,297.2,308.6,1578,34.4,76,0
M,302.2,311.3,1931,21.9,101,0
H,299.2,309.1,1410,47.1,9,0
L,297.2,308,1869,25.4,163,0
L,300.5,311.8,1524,38.9,214,1
L,300.1,309.6,1321,46.9,75,0
M,296.3,307.2,1446,45.9,180,0
L,298.6,309.5,1450,44.3,7,0
M,298.5,308.3,1381,50.5,22,0
L,297.3,308.3,1410,48.1,23,0
L,300.7,310.9,1356,65.3,66,1
L,297.8,307.8,1396,42.5,23,0
L,301.6,310.6,1222,70,62,0
L,300.1,310.5,1394,44.3,121,0
L,302,310.7,1453,42.7,92,0
H,299.6,309.2,1597,36.3,35,0
L,295.6,306.2,1650,28.2,35,0
H,299.9,311.3,1413,41.8,153,0
L,299,309.9,1630,34,92,0
M,301.3,310.8,1509,40.1,25,0
L,300.5,311.3,1475,46.3,49,0
L,303,312.6,1451,42.1,125,0
L,297.4,308.1,1348,53.7,68,0
L,301.2,310.3,1497,45.7,76,0
L,301,312.2,1510,39.9,61,0
M,297.3,308.4,1434,44.8,21,0
L,298.4,309.7,1457,44.2,175,0
H,303.3,311.8,1649,29.4,49,0
H,299.1,308.2,1450,46.1,112,0
L,298.8,308.6,1599,33,101,0
L,301,311.9,1454,41.9,33,0
L,296.3,307.2,1637,31.6,27,0
L,303.5,312.9,1332,52.9,66,0
L,300.1,310.2,1475,54.2,53,0
L,300.1,309.2,1783,27.3,118,0
H,300.7,310.5,1476,43.1,134,0
M,298.1,308,1924,20.8,29,0
L,297.4,308.5,1418,51.2,52,0
L,300.7,309.5,1592,29,17,0
L,303.6,312,1827,23.3,103,0
M,297.3,308.4,1449,44.4,34,0
M,298.5,309.5,1501,40.2,114,0
M,300.7,310.5,1863,22.2,111,0
M,297.8,309,1675,30,110,0
M,299.7,310.8,1405,47.6,192,0
H,296.9,307.8,1549,35.8,206,1
L,299.1,310.1,1894,24.2,22,0
M,303.7,313.1,2130,18.1,185,0
M,301.3,310.4,1635,32.5,110,0
L,301.5,311.1,1459,45.1,97,0
M,301.5,310.8,1385,47.5,30,0
H,301.5,310.9,1524,40.4,124,0
H,298.8,309.6,1309,57.4,185,0
M,303.5,312.4,1606,30.1,98,0
L,298.8,309.8,1485,42.4,74,0
M,302.7,312.2,1439,42.5,164,0
L,301,310.8,1475,35.3,19,0
L,302.8,311.1,1721,30,87,0
L,300,311.5,1349,48.6,113,0
M,297.6,309,1427,45.6,179,0
L,298.4,309.4,1540,43.2,141,0
M,301.4,310.6,1459,35,87,0
M,300.2,309.7,1183,61.4,170,0
M,300.8,310.8,1549,35.5,79,0
H,298.5,308.2,1563,44.6,163,0
L,300.6,310.2,1648,31.7,46,0
L,300.3,311.5,1466,46.2,62,0
H,299.2,308.4,1388,53.2,59,0
L,299.1,310.3,1449,40.7,40,0
H,297.6,308.4,1703,31.4,205,0
L,300.1,311.4,1467,35.7,45,0
L,300.1,309.6,1649,33.6,168,0
L,298.4,309.1,1467,42.5,139,0
L,301.8,311,1529,41.6,12,0
L,301.2,311,1596,37.2,219,0
H,299.4,309.3,1439,49.7,9,0
L,298.2,308.4,1388,53.8,137,0
L,299.7,309.3,1592,34.2,8,0
L,298.1,307.9,2161,17.5,5,0
M,302.1,310.7,1608,30.3,81,0
L,302.3,310.1,1321,52.7,134,1
L,302.3,311.3,1652,32.8,108,0
L,299.7,309.2,1346,57.4,138,0
M,297.6,309.3,1464,46.2,218,0
L,297,307.6,1680,35.8,20,0
M,299.1,308.6,1499,45.1,185,0
L,300.7,311.9,1476,42,196,0
M,299.5,310.7,1488,39.5,95,0
L,295.6,306.1,1389,46.2,113,0
L,300.9,310.3,1446,44.5,135,0
L,298.3,308.5,1453,42.9,89,0
L,299.2,308.4,1386,54.1,26,0
M,302.3,311.1,1435,43.1,149,0
H,299.1,309.4,1811,24.6,77,0
H,299.2,310.6,1434,48.4,153,0
L,299.2,310.2,1458,47,183,0
L,302.2,311.4,1397,53,17,0
L,300.2,311.5,1492,41.8,128,0
L,297.4,308.4,1328,61.8,98,0
L,302.5,310.2,1716,29.9,156,0
L,301.4,310.9,1440,45.4,177,0
L,297,307.8,1500,39.9,175,0
L,297.6,308.6,1383,47.5,75,0
L,303.3,311.3,1393,47.4,18,0
M,300,310.1,1314,53.5,199,0
L,301.9,309.6,1446,43.2,225,0
M,298.4,308.2,1499,40,211,0
L,302.5,310.4,1349,55.1,187,1
M,300.4,309.7,1488,42.2,133,0
L,299.6,308.9,1613,30.8,80,0
M,296.3,307.1,1534,33.8,151,0
L,303.7,312.3,1349,51,105,0
L,298.7,309.7,1881,21.7,29,0
L,300.3,310.2,1492,52.3,2,0
H,303.3,311.8,1806,27.7,44,0
L,299,310.4,1713,28,116,0
L,299.9,309.1,1412,48.3,198,0
L,298,307.6,1654,28.9,123,0
L,298.7,309.8,1469,38.4,62,0
M,299.3,308.7,1459,35.6,87,0
L,299.2,310.3,1429,40.1,23,0
L,299.3,308.9,1258,69.4,119,1
M,298.3,308.5,1629,37.1,170,0
M,303.4,312.2,1615,35.7,56,0
M,298.9,310.1,1442,42.9,153,0
M,301.1,310.6,1310,48.8,103,0
M,301.5,310.1,1468,40.8,32,0
L,295.8,306.5,1493,40.5,90,0
L,300.7,311.9,1462,39.7,181,0
H,301.9,311.2,1474,41.8,18,0
L,300.4,309.6,1319,48.1,26,0
M,302.7,311.6,1501,38.8,171,0
L,300.7,309.5,1541,37.2,48,0
L,300.4,309.6,1356,45.9,64,0
M,300.8,310.3,1494,42.2,35,0
L,299.6,309.2,1450,43.1,160,0
L,298.1,308.1,1410,45.8,71,0
L,302.1,310.5,1559,36,124,0
H,297.5,309.3,1563,36.1,100,0
M,298.5,308.7,1662,28.3,15,0
H,300.5,309.4,1360,46.2,93,0
M,301.9,310.7,1472,47,73,0
L,301.4,310.7,1989,21.8,19,0
L,300.9,310.4,1536,34.2,45,0
L,300.5,311.1,1547,37.2,7,0
L,300.4,310.8,1396,49.3,142,0
L,300.3,310.3,1362,60.3,206,1
L,296.6,307.6,1459,40.2,96,0
H,298,307.6,1593,32.2,118,0
M,302.3,310.1,1563,37.8,31,0
M,297.6,308.1,1379,57.4,122,0
M,302.3,311.5,1674,30,12,0
M,300.9,311.4,1434,45.4,118,0
L,300.4,310.2,1529,36.2,10,0
H,302.6,310.4,1614,36,74,0
M,295.5,306,1641,36.6,21,0
L,300.6,310,1505,35.9,95,0
L,299.4,309,1391,58.2,135,0
H,298.1,307.7,1376,56.2,113,0
L,297.4,309.3,1759,24.8,81,0
L,300.2,311.5,1495,38.5,69,0
L,299.8,309.5,1641,27.1,16,0
L,301.9,310.7,1480,47.1,68,0
L,300.4,309.2,1752,29,52,0
L,297.9,309,1382,43.9,116,0
H,298.7,310.2,1613,36,0,0
L,302.2,311.6,1462,50,51,0
M,300.3,309.8,1444,42,3,0
M,299.4,310.9,1446,47.3,12,0
L,300.8,310.7,1525,39.4,175,0
L,298.3,309.1,1616,31.1,195,0
L,297.2,308.4,1677,26.4,146,0
L,301.4,310.7,1657,28.7,108,0
L,299.3,308.6,1403,50.6,189,0
M,302.7,310.8,1555,36.1,35,0
M,299.1,310.6,1449,43.2,80,0
L,297.5,308.2,1327,56.5,189,0
L,298.3,309.1,1386,45.3,212,0
H,300.9,310.7,1656,30.7,200,0
L,297.3,308.4,1491,46.5,29,0
L,299.8,311.1,1300,64.2,165,0
L,301.3,311.3,1474,50.7,10,0
M,297.4,309,1685,30.7,177,0
M,300.6,311.4,1468,40.4,55,0
L,301.8,310.5,1548,34.1,93,0
H,300.9,310.8,1390,40.6,131,0
L,301.5,310.4,1474,39.9,53,0
L,301.7,310.9,1557,39.4,2,0
M,297.8,307.4,1330,51.7,183,0
M,298.1,308.6,1425,41.9,11,0
L,298.3,309.4,1668,27.1,136,0
M,299.9,309.5,1412,57.9,59,0
L,302,310.6,1583,38.9,94,0
L,302.5,310.2,1547,36.9,103,0
L,298.4,307.9,2381,14.2,164,0
L,302.7,310.5,1263,67.8,197,1
M,302,310.6,1479,40.5,24,0
M,299.3,308.9,1858,24.7,101,0
L,297.4,309,1570,37.9,154,0
M,299.9,309.5,1372,56.2,133,0
L,300.3,311.8,1548,33,16,0
M,300.2,310.4,1530,35.7,80,0
M,300,309.6,1573,39.7,162,0
H,299.3,309,1508,35,70,0
L,297.9,309.1,1543,36.6,20,0
L,298.9,309.8,1396,49,13,0
H,297,307.8,1404,40.7,184,0
L,299.2,309,1515,48.9,228,1
M,301.8,310.9,1346,44.6,142,0
L,298.9,309.9,1309,56.2,119,0
L,298.9,310.1,1587,30.2,162,0
M,298,309.1,1574,34.8,40,0
H,300.6,310,1419,42.4,90,0
L,300.8,311.9,1486,45.1,30,0
M,299.1,308.9,1397,52.4,112,0
L,301,310.8,1558,34.9,196,0
L,300.6,312.2,1308,54.7,52,0
M,298.1,308.6,1716,30.7,119,0
M,298.6,310.1,1444,48.1,39,0
L,300,309.6,1694,28.7,94,0
L,301.9,310.6,1610,33.4,87,0
L,297.5,308.8,1312,50.3,159,0
L,299.1,310.2,1352,52.8,41,0
L,300.8,312.1,1512,37.1,169,0
L,297.4,308.6,1494,42.6,161,0
L,298.4,309.5,1376,50.4,202,0
M,298.1,307.7,1498,38.3,81,0
L,299.3,308.3,1651,28,6,0
M,297.5,308.1,1469,44.8,5,0
L,298.2,307.9,1313,67.3,67,1
L,298.2,308.1,1382,43.5,37,0
L,298.5,308.2,1654,27.1,13,0
L,302.3,311.3,1682,34.4,127,0
M,298.8,309.6,1692,31.9,167,0
L,298.6,309.7,1356,54,6,0
M,302.7,310.5,1398,47.3,70,0
L,300.7,310.2,1807,24.2,77,0
M,300.8,309.7,1751,27.9,183,0
L,297.8,309,1403,64.2,0,1
L,303.4,312.8,1360,50.8,94,0
L,299,310.3,1577,40,181,0
L,302.6,311.7,1542,34.1,137,0
M,299.5,309.1,1420,49.5,5,0
L,297.2,307.9,1493,38.4,146,0
L,298.2,308.3,1805,31.6,96,0
M,302.5,311.8,2023,19.1,74,0
L,302.9,312.3,1578,36.3,141,0
M,298.1,307.9,1662,28.9,76,0
L,300.2,310.2,1530,48.5,15,0
L,298.3,308.1,1528,33.9,82,0
L,301.5,311.1,1426,52.1,121,0
M,302.5,311.9,1347,54.3,125,0
M,298.6,309.1,1487,43.2,206,0
M,298.4,308.7,1584,31.7,117,0
L,297.9,307.7,1492,43.7,59,0
L,297.4,308.8,1447,58.1,129,0
L,297.4,308.3,1284,60.3,50,0
L,303.4,311.8,2268,15.8,20,0
L,299.2,308.4,1877,23.9,4,0
L,302,310,1832,22.9,178,0
H,301.8,311.1,1463,50.1,149,0
M,298.2,309.1,1457,49,77,0
L,300.7,310.6,1720,30.3,96,0
M,300.1,309.6,1584,36.7,165,0
L,300.1,311.4,1446,40.6,147,0
L,297.2,308.5,1447,47.9,188,0
M,297.5,308.4,1505,37.2,215,0
L,298.2,308.7,1447,48.4,51,0
L,297.6,309.2,1390,43.3,221,0
L,298.3,308.5,1539,36.1,168,0
L,299.8,310.3,1524,34.2,196,0
M,299.5,308.8,1886,20.9,117,0
L,299.1,310.5,1389,61.4,64,0
L,300.2,311.3,1487,36.9,71,0
L,297.3,308.1,1468,49.8,0,0
M,301.1,312.3,1852,25.9,131,0
H,302,310.5,1812,24.4,138,0
H,297.7,309.6,1697,32.2,210,0
L,297.1,307.9,1507,38.3,170,0
L,302.6,310.3,1647,34.2,14,0
L,302.7,312.1,1728,24.4,146,0
H,297.8,307.5,1631,31.3,124,0
M,298.2,308.7,1361,44.2,0,0
M,296.9,307.9,1385,44.8,144,0
L,300.6,311.9,1413,41.3,43,0
M,298,308.6,1376,55.7,214,0
M,298,309.2,1438,42.9,101,0
M,302.3,311.7,1517,37.6,124,0
L,300,309.3,1364,41.2,104,0
M,297.9,308.5,1449,40.8,157,0
M,300.5,310,1580,37,181,0
M,299.2,308.3,1364,51.8,104,0
L,298.9,310.3,1484,43.8,124,0
M,299.5,311,1451,43.3,136,0
L,297.9,308.1,1585,33.5,212,0
H,297.9,307.6,1418,43,207,0
L,302.2,311.4,1430,43.1,29,0
H,300.3,309.7,1452,41.5,139,0
L,298.2,308,1535,38,179,0
H,297.3,308.7,1478,47.6,98,0
L,297.5,308.5,1306,50.7,38,0
M,298.8,310.2,1581,37.5,75,0
M,299.3,308.5,1422,43.1,186,0
L,298.4,309.4,1461,46.3,121,0
L,303.8,313.1,1256,58.7,213,1
L,302.5,311.1,1499,38.8,135,0
L,297.7,307.1,1715,30.2,0,0
L,297.9,307.5,1574,35.8,153,0
M,298.5,309.4,1365,48.7,56,0
L,297.6,308.3,1595,34.3,41,0
M,300.5,311.6,1456,51.1,193,0
M,300.4,310.2,1380,47.3,5,0
H,297.3,308.6,1688,29.4,166,0
H,297,308.4,1305,54.6,168,0
L,297.1,308.4,1304,53.5,153,0
L,300.4,310,1769,26.1,38,0
L,303.5,312,1436,45.1,32,0
L,299.5,309.3,1577,36.6,14,0
L,299,308.7,1706,28.6,206,0
L,302.3,311.7,1281,48.8,0,0
L,302,310.6,1467,44.9,86,0
L,298.7,309.9,1372,54.7,44,0
L,303.6,312.4,1363,53.1,7,0
L,302.1,310.8,1565,35.3,6,0
M,297.3,308.7,1447,44.5,105,0
L,300.7,309.5,1685,31.1,27,0
L,299.6,309,1472,48.8,72,0
L,299.3,310.8,1391,46.9,21,0
L,300.3,309.5,1474,38.7,35,0
L,300.9,310.9,1477,41.5,100,0
L,297.1,308.5,1712,32.1,48,0
L,302.5,310.2,1454,43,108,0
L,297.4,308.4,1531,41.5,213,0
L,299.9,309.5,2008,20.4,165,0
L,300.4,310,1423,44.2,189,0
H,302.3,310.2,1506,33.8,43,0
M,302.3,310.7,1544,39.7,141,0
L,297.5,308.5,1691,33.1,9,0
L,300.2,310.2,1600,31.5,23,0
L,302.3,310.9,1596,33.5,104,0
M,300.4,309.7,1685,32.3,167,0
H,300.7,312.3,1670,27.3,81,0
M,300.9,312.6,1555,40.6,109,0
M,297.5,308,2033,16.7,128,0
L,300.4,311.8,1689,30.8,196,0
H,298.2,308.3,1824,24.2,49,0
L,299.7,309.6,1512,36.2,172,0
M,300.3,311.2,1783,25.6,139,0
L,297.8,309.2,1372,47.3,15,0
L,299.7,309,1605,33,151,0
L,298.4,309.1,1579,36.1,123,0
M,301.3,311.2,1438,42.4,7,0
L,302.3,311.2,1386,53.5,59,0
L,297.4,308.5,1475,47.2,69,0
L,303.5,311.9,1515,39.2,24,0
H,300.8,310.5,1582,31.1,193,0
L,302.5,312,1383,51.3,190,0
L,300.6,310.1,1656,32.7,44,0
L,299,310.2,1412,44.1,246,0
L,301.3,310,1438,40.9,7,0
L,299,308.6,1587,38.6,124,0
L,298,307.6,1694,29.1,169,0
L,301.5,310.4,1270,54.2,26,0
M,298.4,309.1,1467,39.6,78,0
L,301.3,310.4,1414,51.4,199,0
L,301.9,309.7,1595,31.4,133,0
L,299.5,309.1,1852,22.6,77,0
L,300.5,310.6,1950,20.3,208,0
L,298.3,309.2,1456,45.5,75,0
L,302.2,311.2,1630,36,169,0
L,298.9,310.2,1359,56.9,166,0
L,301.9,310.4,1884,23.4,163,0
M,301.3,310.7,1532,40.7,178,0
L,299.2,310.2,1697,30.6,12,0
M,299,308.4,1535,47.5,163,0
L,301.4,310.6,1648,30.7,90,0
M,297.9,308.7,1751,26.6,111,0
L,302,310.1,1409,50.4,172,0
L,299.6,310.7,1393,52.1,110,0
M,296.5,307.4,1565,43.5,194,0
L,302.4,311.8,1727,26.5,213,0
L,301.3,311.1,1504,39.1,2,0
H,300.3,311.6,1801,23.6,97,0
M,298.1,309.3,1752,25.2,77,0
L,302.1,311.4,1391,49.2,52,0
L,303.5,311.7,1620,31,141,0
L,301.7,309.9,1524,46.6,104,0
L,302,309.7,1414,36.3,209,0
M,298.5,309.5,1366,61.9,130,0
L,302.1,311.3,1521,31.5,202,0
L,300.4,309.3,1766,28.2,207,0
L,298.5,309.5,1385,46.3,203,1
M,298.8,309.8,1413,45.5,64,0
L,298.9,310.1,1401,44.4,76,0
L,300.3,311.7,1545,43.5,160,0
M,300,310.4,1385,52.1,128,0
L,302.5,310.2,1307,54,86,1
L,299.8,309.4,1460,37.4,25,0
M,297.4,308.2,1424,53.9,120,0
M,300.7,309.4,1589,35,52,0
M,300.5,311.9,1370,44.8,20,0
L,300.3,311.1,1480,46.6,185,0
L,298.7,309.8,1394,40.3,11,0
M,302.8,312.2,1452,50.3,60,0
M,298.6,309.5,1366,55,65,0
L,302.6,310.5,1450,43.2,68,0
L,299.1,310.4,1550,43.9,79,0
L,298.4,310.1,1455,42.2,94,0
L,301.9,310.8,1400,58.2,79,0
L,303.7,312.1,1443,45.9,74,0
M,301.6,310.9,1575,40.1,139,0
L,298.4,309.2,1345,52.7,196,0
L,297.4,308.3,1493,41.2,43,0
L,298.9,310.2,2737,8.8,142,1
L,298.2,309.4,1398,52.9,79,0
M,299.7,309.2,1412,45.3,205,0
L,303.3,312.2,1457,40.7,48,0
M,300.5,309.3,1589,34.9,91,0
M,300.4,311.2,1831,23.4,133,0
L,299,310.5,1755,27.9,56,0
H,302.6,312,1657,29.3,37,0
L,301.1,311.1,1508,41.5,184,0
M,304.1,313.2,1586,41.1,129,0
M,300,311.4,1864,23.3,2,0
L,298.9,310.3,1364,54,95,0
L,303.7,312.9,1502,40.5,0,0
M,298.9,309.9,1449,44.1,112,0
L,301.8,310.6,1650,31.9,126,0
L,300.5,309.7,1887,24.3,28,0
L,299.2,308.9,1368,47.2,175,0
L,303.8,312.9,1573,34.6,14,0
L,303.1,311.3,1657,31.8,217,0
L,302.7,312.4,1477,46.3,251,1
M,302.5,311,1563,35.6,190,0
H,296.1,306.8,1645,31,41,0
L,300.5,309.6,1465,41.6,217,0
L,303.4,312.7,1534,35.5,98,0
M,300.4,311.6,1401,49.9,79,0
L,298.8,310.1,1481,47.4,187,0
L,297.1,308.4,1529,40.4,165,0
M,297.1,308.1,1823,24.3,219,0
H,298.6,308.8,1566,39.1,36,0
L,297.3,308.5,1456,54.2,179,0
L,301.1,311.2,1564,37,165,0
L,301.7,310.2,1435,48.1,12,0
M,299.9,310,1484,42.1,182,0
L,302.5,311,1548,38.4,188,0
H,302.2,310,1468,43.6,38,0
L,299,310.3,1507,36.7,173,0
H,298.3,308.9,1706,31.8,8,0
M,300.6,310.2,1478,40.1,5,0
L,301.8,310.6,1403,46.8,151,0
M,299.2,308.4,1856,22.7,86,0
L,300.9,312.4,1364,52.5,125,0
L,300.5,311.6,1444,49.3,92,0
L,295.6,306,1370,52.4,115,0
M,300.7,311,1334,53.9,150,0
M,300.3,311.7,1447,36.8,0,0
M,297.3,308.2,1846,24.5,41,0
L,304.4,313.6,1585,38.9,9,0
L,300.4,311.7,1513,40,51,0
L,302.5,311.2,1545,40.1,165,0
L,300.6,310.9,1344,46.7,133,0
M,297.9,309,1525,38.5,113,0
L,300.2,309.3,1532,43.2,53,0
L,302.8,312.1,1441,52.1,79,0
H,299.1,308.8,1566,46.6,192,0
L,302.4,311.8,1673,30.1,210,0
M,298.7,309.9,1654,29.1,195,0
M,298.4,309.2,1414,46.4,128,0
L,298.1,307.6,1354,43.3,155,0
M,299.4,310.8,1628,40.2,111,0
L,301.3,311,1542,33.6,80,0
L,300.3,311.8,1413,46,182,0
L,299.2,310.3,1463,38.9,160,0
L,297.2,308.7,1463,49.9,146,0
L,297.6,308.7,1622,37.9,79,0
L,300.7,311.2,1457,51.4,61,0
L,303.5,312.4,1481,43.7,20,0
M,301.3,310.1,1525,37.8,199,0
L,297.8,308.9,1282,58.1,108,0
M,298.6,309.9,1517,34,215,0
L,299.2,308.5,1374,53.6,143,0
L,296.3,307.3,1439,41.5,208,0
L,302.6,311,1369,60,93,1
L,298.7,309.8,1322,57,140,0
M,299,309.7,1489,40.7,212,0
M,301.5,310.5,1412,44.1,184,0
L,304.1,313.5,1469,44.6,113,0
M,300.8,309.7,1680,28.2,189,0
L,301.2,309.9,1515,40.9,21,0
L,298.5,309.3,1570,40.1,131,0
L,298.8,309.7,1505,39,131,0
L,298.9,308.2,1828,23.8,26,0
L,298.1,309.9,1563,32.8,51,0
M,300.8,311.4,1852,22.2,53,0
M,298.6,309.3,1510,40.8,177,0
M,302.4,311.9,1422,46.4,194,0
L,303.9,312.7,1789,24.4,163,0
L,300.8,311.7,1490,46.4,217,0
L,301.4,310.7,1706,27.9,170,0
L,297.6,308.8,1539,40.2,72,0
M,300.3,309.3,1391,57.9,204,0
M,298.2,307.7,1608,33.8,106,0
L,298,308.7,1626,36.7,210,0
M,298.1,308.1,1452,40.8,56,0
L,302.8,310.9,1636,35,38,0
L,297.8,307.3,1412,50.7,24,0
L,302.9,312.2,1571,40.6,139,0
M,297.4,308.2,1530,32.6,22,0
H,302,309.9,1447,42.8,185,0
H,297.6,308.8,1385,44.4,181,0
L,299.9,309.3,1620,31.1,196,0
M,299.4,309.1,1352,44.7,172,0
L,298.8,308.8,1555,40.6,61,0
H,298.5,309.4,2011,21,59,0
M,302,311,1980,21.5,20,0
L,300.9,310.7,1517,41.7,210,0
H,299.1,310.4,1369,54.5,104,0
L,302.4,310.3,1520,31.6,121,0
H,298,309.1,1557,36.4,65,0
M,298.2,308.7,1426,42.6,23,0
M,299,310,1488,46.3,198,0
M,298.7,308.5,1360,52.9,69,0
M,296.8,307.8,1694,33,115,0
L,297.5,308.3,2564,12.8,127,1
M,303.8,313,1514,45,113,0
L,300,309.7,1586,37.8,103,0
L,299.5,310,1379,50.4,85,0
L,302.5,310.5,1507,39.5,147,0
L,300,309.1,1431,45.4,90,0
L,296.8,308,1371,54.5,86,0
L,302.7,312.3,1858,25.4,2,0
L,298.8,308.9,1402,37.9,2,0
M,300.6,309.4,1581,35.7,117,0
M,298.9,309.8,1947,21.7,105,0
M,298.2,308.3,1560,33,181,0
M,302.1,311.3,1497,38.4,28,0
H,298.8,310.2,1707,27.6,56,0
H,299.4,309.1,1547,40.9,50,0
M,298,308.7,1479,58.5,176,1
L,299.3,308.5,1409,44.8,91,0
L,301.9,311.3,1366,55.6,57,0
L,302.3,310.9,1587,36.6,20,0
M,300.1,310.3,1350,48.8,50,0
M,298.5,309.6,1438,44.5,124,0
L,303.5,312.3,1404,48.6,193,0
M,299.3,309.1,1600,35.3,52,0
M,300.8,311.2,1434,39.1,82,0
L,301.4,310.7,1425,45.1,7,0
L,299.4,309.2,1444,48.2,24,0
M,298.7,310.1,1549,42.5,61,0
L,301.3,311,1348,44.5,78,0
H,300.8,310.9,1425,44,33,0
L,303,312.5,1461,40.2,127,0
L,300.5,310.8,1445,46.6,155,0
L,301,310.9,1568,38.2,172,0
M,303.3,311.8,1583,33.3,72,0
M,297.9,309.1,1558,39.2,59,0
M,299.1,310,1437,41.1,192,0
L,303.7,312.4,1512,39.2,184,0
L,302.2,311.6,1416,54.1,48,0
M,303.7,312.4,1474,38.8,139,0
M,304.1,313.5,1470,45.8,85,0
L,299.8,309.5,1590,28.5,23,0
L,298.1,309.9,1629,32.5,45,0
L,301.9,310.6,1462,38.8,22,0
L,296.9,307.8,1285,52.1,100,0
M,303.6,312.7,1699,31.5,105,0
L,303.7,313.1,1406,48.6,183,0
M,302,311.2,1418,49.5,17,0
L,304.1,313.3,1883,24.5,190,0
H,298.8,309.6,1516,40.2,152,0
H,297.5,309.3,1525,41.7,235,0
H,298.2,308.8,1837,28.4,34,0
L,300.6,309.6,1426,53.6,66,0
L,298.3,308.4,1593,37,174,0
M,303.4,311.7,1515,44.2,168,0
L,300.7,310.7,1431,39.3,22,0
L,298.9,308.5,1387,57.3,154,0
L,297.4,308.4,1573,34.5,205,0
H,298.8,310.3,1708,27.1,78,0
L,300.7,311.8,1336,58.4,189,1
L,297.6,308.6,2384,14.4,171,0
H,297.5,308.7,1416,39.2,74,0
M,298.1,308.3,1453,41.5,204,0
